Fodselsnummer,Epost,Inntekt,Formue
ECBB79C4-9465-93D4-5F5C-CB9EE5A75B73,montes.nascetur.ridiculus@nisiaodio.edu,"22,679Kr","44,121Kr"
5E93DED4-49B7-1E61-B261-11DA07830A45,arcu.Vestibulum.ante@idante.edu,"53,704Kr","52,433Kr"
B0EB76F8-13DA-161E-CCFC-28D8819ABBE6,Donec@aliquetvel.com,"08,434Kr","89,379Kr"
F7778023-C0A8-DDD0-F945-34D343F1A809,sit.amet.consectetuer@dignissimtempor.co.uk,"18,707Kr","64,713Kr"
A5AE9A03-30D3-8EB1-1764-E441F544BDB5,imperdiet@maurissagittis.org,"73,478Kr","65,129Kr"
A6BAB0E7-EAC1-00E1-5F6A-DE79276ED788,In.scelerisque.scelerisque@aliquamarcu.ca,"87,024Kr","02,788Kr"
135B6C14-A8D2-6150-770B-3E10C5EFA3DB,ut.molestie.in@porttitor.co.uk,"60,841Kr","16,247Kr"
75D3BC35-0017-3852-07B1-7898A113A512,tellus.faucibus@torquentper.net,"78,805Kr","10,008Kr"
400E212D-73F2-259E-F4A9-2E6776D82516,senectus.et@sodalesnisimagna.ca,"13,113Kr","76,258Kr"
3A5B1344-85BE-706B-7D62-24FDBA86FB43,vitae.erat@in.co.uk,"67,412Kr","24,277Kr"
7092A19A-DED3-9CB6-07D9-E1A5C735A401,ridiculus.mus.Proin@sed.net,"00,416Kr","87,820Kr"
A817F5C9-9DBE-60D1-E78A-E4F1BB495150,nibh@eusem.net,"14,019Kr","92,400Kr"
767813DA-8E08-8601-2447-63CE2E7F797F,feugiat.tellus@sitamet.org,"88,289Kr","14,420Kr"
59D7757F-EFEE-E600-CCBF-9FBC391CBFB0,nisi.dictum@neque.co.uk,"59,489Kr","24,542Kr"
8EFB7182-0329-DAAB-AB99-B661344DD605,augue@cursusluctus.com,"74,617Kr","15,780Kr"
D56E9B36-897E-E7FA-899A-6A716D7D07DD,bibendum.sed@non.edu,"90,118Kr","18,311Kr"
657D3FA3-6813-DD9C-D657-9BF41271E585,consectetuer@enimmitempor.org,"40,268Kr","54,020Kr"
05628E36-4CBF-CDDC-AF10-2A22D2156777,nisl.Quisque.fringilla@dapibus.edu,"45,826Kr","28,887Kr"
E31C532C-A937-8CC5-9853-06953B50F5FE,mi@lacus.co.uk,"48,712Kr","71,930Kr"
0014B64B-C4A4-5529-1C88-9E831C7D6D87,tincidunt@estNunc.net,"57,074Kr","41,864Kr"
87DA347A-2010-ACAA-C070-F893CCAD697F,Ut.tincidunt@euismodac.ca,"02,203Kr","18,096Kr"
873C4F61-6096-1F06-9146-35401D7A563D,nisi.dictum@vulputatelacus.ca,"41,533Kr","58,931Kr"
92293F1E-5822-79CA-FD0C-EFF0D2947620,Fusce.aliquam@elit.co.uk,"10,239Kr","43,088Kr"
51624F7C-5ACE-F7B4-26D6-3A2A480BE203,sit.amet@Praesenteu.org,"14,083Kr","71,925Kr"
45A8DA3B-D4F2-B6B2-40FC-3A4C008D9BEE,mi.lacinia.mattis@Nullatempor.edu,"27,400Kr","40,902Kr"
54F5573E-31D4-A32D-DCEA-71470FB0AC3F,auctor@pulvinararcuet.com,"41,659Kr","99,899Kr"
32F42B5C-78C9-B1F6-B436-75CDAFFB1D34,odio@convallis.ca,"66,516Kr","22,971Kr"
A2A7CA78-B5CF-5F97-D764-E131E1965650,dis.parturient@imperdiet.co.uk,"80,611Kr","01,115Kr"
AF581FF6-647F-4F5F-F445-F909831ECD26,felis.ullamcorper@auctornunc.com,"16,328Kr","33,359Kr"
400D41B0-FD7C-46AB-5088-C4F7662D1246,eleifend.nunc.risus@urnaetarcu.org,"82,544Kr","05,586Kr"
9410B4EC-723A-672C-6B22-B54231E063A0,malesuada.fames.ac@tellusNunc.ca,"44,028Kr","15,549Kr"
C7DF9C0F-0A09-61C7-0DE1-108C5DD54110,dolor@diameu.net,"68,831Kr","18,277Kr"
8DDDAB3F-D4F7-3FAE-0CAB-FED30570DC15,ut@gravidanunc.edu,"41,853Kr","36,437Kr"
6D972170-D857-78D2-F1AA-6A9A46FBDF14,sed@purusaccumsan.org,"85,697Kr","83,701Kr"
7911D718-50AA-C55B-17BB-20D4DC8AD724,ipsum@ut.org,"89,658Kr","40,669Kr"
C109D84A-07F0-B5E7-D596-65AC6B5079B3,magna.Nam@rhoncusProinnisl.net,"23,150Kr","57,240Kr"
A6C11119-ADD4-9ABE-CE35-F897C5C5A745,id@in.co.uk,"64,587Kr","59,915Kr"
BA170DCA-51F2-2624-FB06-1161E5D97F42,commodo.auctor.velit@Quisque.ca,"63,210Kr","19,479Kr"
16C0C9A4-9E73-41D7-8211-6DD1BCB5CCFE,tellus.faucibus@Etiam.net,"58,230Kr","23,096Kr"
913BD062-D22C-5EB5-4484-C378F7B4AFA4,nec@egestas.org,"49,787Kr","03,693Kr"
02CFA834-8E99-D88B-F978-DF7F3C7B9209,at.nisi@velitinaliquet.com,"37,039Kr","25,247Kr"
C46F0DA9-0A34-7C3C-9694-2FD8F2C8E9FA,commodo@mattisIntegereu.org,"25,698Kr","78,620Kr"
B3DA5934-32F1-89FB-D7FC-272A34A4009B,dictum@necligulaconsectetuer.com,"57,350Kr","82,743Kr"
728A63F7-3936-F9E0-3B3F-783DC3F82F79,vel@euismodacfermentum.co.uk,"13,654Kr","50,145Kr"
F92C65CF-8B62-C664-8A3E-76B42612D21C,leo.Morbi.neque@nequeNullam.co.uk,"72,012Kr","10,369Kr"
BB2FE810-6322-06B3-F050-0E4CEED621DE,amet@at.org,"84,423Kr","65,588Kr"
C99A760A-8D95-D705-7C4B-B5F0165E3ABF,mi@ornarefacilisiseget.net,"52,939Kr","02,049Kr"
5837E852-2115-6B11-565D-6D3C7EBDE403,a.sollicitudin.orci@Uttinciduntorci.edu,"59,053Kr","41,789Kr"
C0E3F91D-E11B-5B70-C6ED-51515E11CF28,neque@blanditNamnulla.edu,"87,433Kr","18,806Kr"
4A8A8AC5-9ED9-FA9A-7637-57B030754BD8,consequat.dolor@auctor.org,"52,654Kr","02,237Kr"
369670BB-C842-E80E-8486-5C50AE4E9E7C,velit@sedpedenec.ca,"99,331Kr","48,294Kr"
A9B47F21-DAE3-B1FC-07B7-4BC9C171EBB8,eros.nec.tellus@hymenaeosMaurisut.ca,"87,816Kr","80,619Kr"
283C4436-3F1C-4791-D9F1-3C78BDAAB81E,Suspendisse@Donecelementumlorem.org,"61,696Kr","55,625Kr"
EC7AA255-A64B-BE15-DD2A-BCB0EE3A079F,metus@Mauris.co.uk,"72,378Kr","18,647Kr"
5A5498FA-0894-A33E-37C9-F6A621BCAA00,magna@miac.com,"56,014Kr","86,902Kr"
8C5BD078-A88F-EDDD-05CD-714D9957A762,nunc.ac@consequat.co.uk,"38,688Kr","55,731Kr"
F62CFB17-59D8-E96F-4B9A-9CF4C1DC92A8,semper.rutrum@odiotristique.co.uk,"38,456Kr","87,711Kr"
467084D2-77B0-4FAC-6BA7-A162E4E7D591,ut.eros.non@odiovel.edu,"78,272Kr","38,056Kr"
46F3BEA8-44A0-5C5A-CD73-F4F1C8AEBBB0,molestie.sodales@Ut.net,"67,120Kr","12,529Kr"
0FC1B4CA-0760-9146-A2C7-5C5D9902AAFA,vestibulum@Suspendisse.net,"04,281Kr","49,625Kr"
90A3AA64-55FE-0B40-3403-B1C37C6F81C1,felis@quamCurabiturvel.net,"47,851Kr","81,721Kr"
5EDCB3B3-4856-EA2F-5366-3B8E4BD3EFC4,risus.Quisque.libero@cursus.ca,"82,957Kr","11,685Kr"
142F9DCC-CC90-B314-0D22-25A524962204,Mauris@Etiamimperdietdictum.ca,"89,618Kr","87,295Kr"
4756CFCF-1D38-0791-87E5-FDD9DA4A91BD,sed.sem.egestas@vulputateveliteu.edu,"91,357Kr","60,519Kr"
BBA49493-EAEB-3009-01D1-F6CD51DDDCA9,sagittis.felis.Donec@tortoratrisus.net,"17,454Kr","17,827Kr"
33394072-D2B5-7962-1BB4-0FA44A8A8F0C,ligula@malesuadaaugueut.org,"15,326Kr","00,216Kr"
A5EEA874-065D-983F-D08E-0D68B42AD8E8,Proin.mi@tristiquepharetra.com,"85,505Kr","84,859Kr"
4C0F02AE-B868-5D0A-BC00-E4E8AC013697,tempor.bibendum@egestasurna.org,"85,241Kr","31,408Kr"
E049C4BF-B57E-EE2B-F438-D4834151C7DB,varius@pellentesqueSeddictum.net,"36,235Kr","76,601Kr"
799CBEE7-5B3C-D803-944E-F538730F714F,tortor.nibh@netus.org,"20,013Kr","39,638Kr"
04C77D7F-ECE9-AAF6-4C8A-D8D5837CE80E,arcu@elementumategestas.com,"12,657Kr","69,611Kr"
BB913C80-B009-DDF1-8D50-782B54672A4D,diam.dictum.sapien@eudoloregestas.net,"72,178Kr","5,011Kr"
550B963C-07A6-5900-0B69-66F067134389,pede@Donecestmauris.com,"33,594Kr","79,315Kr"
2C983AC7-E517-E69D-E8ED-2424C88E4476,non@milaciniamattis.ca,"54,209Kr","46,149Kr"
13ADB3CF-7369-45D0-2994-6A5A54C90DF2,dolor@etarcuimperdiet.org,"43,847Kr","89,827Kr"
937E7378-17A1-1ACF-6746-82BFE094E707,velit.dui@pedeetrisus.net,"54,531Kr","27,898Kr"
AD8AC830-7A0E-5858-4330-98E1897EB2B6,augue.ut@montes.net,"42,687Kr","77,311Kr"
8A603EFF-1B61-F6EB-ABF9-91E09AB5A6A2,tincidunt.Donec.vitae@Vestibulumanteipsum.org,"53,252Kr","12,166Kr"
8481F369-91CB-3F03-144E-F8A1B2E99402,nibh.Phasellus.nulla@Nullatincidunt.org,"62,818Kr","18,985Kr"
6087BB54-5957-3EBB-A5D0-2C2193489C60,lacus@Inornare.co.uk,"05,694Kr","60,520Kr"
FEC9201C-D8CA-7422-1F18-2822A7E2ABCA,est.ac.mattis@tristique.ca,"19,533Kr","94,112Kr"
258CD6F8-2C2C-459E-B259-76F196CD0F22,turpis.Aliquam.adipiscing@augueac.com,"31,715Kr","83,188Kr"
9643D00D-03F4-DF6F-D038-C38ED6B892C3,In.tincidunt.congue@adipiscing.com,"00,338Kr","85,982Kr"
017E8361-635F-3D65-5961-DDA0A3070A00,pede@pretiumetrutrum.ca,"03,287Kr","31,803Kr"
59EFDF6D-97E5-ED9A-3ECC-9D925A063F58,metus.In.nec@Vivamusnibh.co.uk,"49,052Kr","57,512Kr"
9A7F4868-8B11-0985-8C3F-F740445F0659,dignissim@quisdiamPellentesque.org,"85,454Kr","01,362Kr"
C5409909-F520-2C58-B256-1529C3B18B55,per@eget.com,"01,493Kr","90,764Kr"
167EA2F3-D58E-EE82-4B60-1AF3351F25C4,vitae.velit.egestas@placerataugueSed.net,"60,852Kr","92,360Kr"
A6BECCDF-1A3D-E644-9D81-0A82528C3F4D,Cras.sed@faucibus.ca,"15,533Kr","34,464Kr"
F911F39B-6904-F001-D93C-D89F496A8427,ligula.Aliquam@CurabiturmassaVestibulum.ca,"94,386Kr","30,419Kr"
9EAD8180-5B83-F017-3A5E-489EC6696B4F,In.lorem@sollicitudin.net,"22,330Kr","13,565Kr"
A7884FFE-5B25-5238-39BA-B74D30637521,posuere.enim@mifelis.co.uk,"93,679Kr","06,938Kr"
68CA93E0-8126-CD86-876E-AC905D98CD73,id.ante@necurnasuscipit.co.uk,"07,114Kr","37,093Kr"
500BEA4B-7BEC-FDB6-AB59-EB4F968FF0F5,Aliquam.rutrum@elementumdui.edu,"24,679Kr","97,985Kr"
8F425D15-D0AE-0BEB-09C1-2A2A49BB66FF,dapibus@Curabiturvellectus.com,"79,829Kr","00,460Kr"
7A3C4E7B-57AB-BC6D-06D4-0B9689CF548C,Proin.velit@felispurusac.ca,"50,702Kr","52,217Kr"
E2B1302F-A4C2-884C-1FE5-904A94A1DE6B,magnis.dis.parturient@nonummyFusce.com,"44,533Kr","49,947Kr"
94829346-1B22-D06F-0AD5-BD252C06514F,id.risus.quis@mollisPhasellus.co.uk,"35,725Kr","32,436Kr"
A07CD733-872E-44D4-A36C-CBC56CED9CF4,neque.vitae@vulputaterisusa.edu,"48,300Kr","95,481Kr"
688D46AE-3A20-03BE-7942-992DB7B12748,turpis.Nulla.aliquet@IncondimentumDonec.com,"42,977Kr","12,004Kr"
6632DE3F-6875-5DA9-ED18-393CCCD9A0F1,nonummy@faucibusorciluctus.org,"66,046Kr","72,428Kr"
A347010B-20C9-3FE5-62D6-DBC72BF8CF07,nunc.sed@nec.ca,"41,494Kr","48,217Kr"
1284E7CB-6D29-20D9-0C20-65306D0937B5,lobortis@liberoInteger.edu,"07,591Kr","21,870Kr"
8BDE8E8C-5320-7C92-4E58-51FDBF502DDA,risus.Morbi@blandit.net,"66,495Kr","24,159Kr"
A6B81BD2-EBF8-5928-148F-AAD7947CAC84,vitae.mauris.sit@sociisnatoque.net,"48,452Kr","61,089Kr"
88EF126E-D261-5AFA-AA18-17FE7938729F,metus.In@nibhPhasellusnulla.edu,"08,864Kr","64,691Kr"
FE27760E-89D3-1BFC-0947-AE457BBA49F4,adipiscing.lobortis@liberoMorbi.com,"36,168Kr","47,827Kr"
53CDF783-1788-9371-E533-F7A6BDE84DFA,ipsum.ac@acfeugiat.org,"97,057Kr","10,850Kr"
DD29A01F-E19F-E102-2589-17A2ED1A3451,blandit.congue.In@velvulputate.net,"04,570Kr","43,077Kr"
0CFEA18D-5EF6-6A2F-7C66-1D37330EC2CC,vel.quam@sapienAenean.co.uk,"45,179Kr","41,899Kr"
A31D71C3-49F3-59C2-C44C-BE3C9A6186A2,et.rutrum@sedtortorInteger.ca,"58,295Kr","76,999Kr"
00BDA54B-DB60-5207-0EC1-4060E8E9E00F,Aenean.eget.magna@idante.org,"73,716Kr","44,394Kr"
584402EF-2EE4-AB0C-C8B9-6BB6C46C980F,elit@fringilla.com,"93,997Kr","43,535Kr"
FB3B098A-28A3-CE52-16C2-6AE0967098D8,vel.arcu@Fusce.net,"28,535Kr","29,605Kr"
BA340B4A-4138-27DC-4D9A-69CEF07C13FD,fermentum.risus@egestas.com,"75,784Kr","28,461Kr"
9EC9F461-76E5-A049-6DDE-998C4E5CE8A8,ornare.sagittis@idantedictum.co.uk,"36,482Kr","21,348Kr"
940E36A1-E5A5-CCC8-45B3-C4C42E2DEE18,lectus.Cum.sociis@sempertellusid.com,"9,480Kr","41,713Kr"
BA40C32A-11B9-4DFB-503C-5597421817FD,posuere.cubilia@Nullamvelitdui.org,"57,747Kr","10,960Kr"
BD000181-98FA-BD92-E2A1-6D98FC01249D,ut.cursus@sociosquad.ca,"87,300Kr","93,526Kr"
4AB47B59-0F72-9544-B79A-B94C21CE9E0E,congue.turpis.In@necenim.edu,"37,275Kr","81,711Kr"
8FDB199A-7A80-6A1D-2A59-BE90CD12CD34,Morbi@nisinibhlacinia.edu,"33,146Kr","41,755Kr"
CFA9DCB9-9EE6-EE39-8BCC-CF774053EBDA,leo.Vivamus.nibh@nonbibendumsed.ca,"28,759Kr","04,312Kr"
1C76DC9B-8664-FAD3-9016-2632E9B2B03D,molestie.Sed@gravida.edu,"84,917Kr","09,362Kr"
E87D22FD-23BF-DE95-BF5E-AA1FC8EF044F,blandit.enim.consequat@atvelit.com,"14,196Kr","31,099Kr"
